date,time,sz2sg,sg2sz,sz2sd,sd2sz,sg2sd,sd2sg
2/10/2024,08:31,256,199,152,97,208,223
2/10/2024,08:33,268,198,152,98,206,220
2/10/2024,10:00,307,195,233,160,119,317
2/10/2024,13:20,257,193,196,135,184,230
2/10/2024,14:00,261,195,208,154,194,238
2/10/2024,16:00,234,196,249,177,196,229
2/10/2024,18:00,196,197,199,131,191,190
2/10/2024,20:00,193,191,144,114,173,181
2/10/2024,22:00,224,192,126,111,171,181
3/10/2024,00:00,195,189,92,85,164,162
3/10/2024,02:00,177,190,85,80,168,158
3/10/2024,04:00,178,198,86,80,168,161
3/10/2024,06:00,189,200,84,81,167,161
3/10/2024,08:00,199,201,111,89,185,173
3/10/2024,10:00,223,197,180,125,201,224
3/10/2024,12:00,207,196,162,112,212,183
3/10/2024,14:00,195,214,164,132,210,196
3/10/2024,16:00,191,262,169,162,269,204
3/10/2024,18:00,191,233,146,142,240,196
3/10/2024,18:50,189,227,131,155,201,191
3/10/2024,18:52,188,226,130,163,200,190
3/10/2024,20:00,191,214,115,151,196,183
3/10/2024,21:18,208,221,108,163,198,183
3/10/2024,22:00,207,207,100,163,185,186
4/10/2024,00:00,197,190,90,124,168,165
4/10/2024,02:00,180,189,85,86,164,160
4/10/2024,04:00,184,193,83,81,168,161
4/10/2024,06:00,188,200,85,82,170,168
4/10/2024,08:00,198,199,104,88,181,169
4/10/2024,10:00,206,199,136,110,200,199
4/10/2024,12:00,193,213,135,104,210,180
4/10/2024,14:00,194,256,124,133,237,185
4/10/2024,16:00,187,288,132,154,281,197
4/10/2024,18:00,191,265,122,150,262,192
4/10/2024,20:00,191,235,103,142,231,176
4/10/2024,22:00,206,231,98,124,198,180
5/10/2024,00:00,198,213,87,110,174,168
5/10/2024,02:00,180,196,85,84,167,163
5/10/2024,04:00,185,193,83,86,168,163
5/10/2024,06:00,190,200,86,82,170,163
5/10/2024,08:00,195,199,99,89,177,168
5/10/2024,10:00,202,217,124,115,210,190
5/10/2024,12:00,194,270,122,102,258,179
5/10/2024,14:00,195,292,114,143,274,187
5/10/2024,16:00,189,344,118,171,316,203
5/10/2024,18:00,191,309,122,160,290,192
5/10/2024,20:00,194,278,104,168,257,190
5/10/2024,22:00,207,277,103,141,227,178
6/10/2024,00:00,201,245,87,107,200,169
6/10/2024,02:00,183,197,85,89,174,164
6/10/2024,04:00,188,196,84,93,169,168
6/10/2024,06:00,190,207,85,85,178,163
6/10/2024,08:00,197,228,99,93,194,171
6/10/2024,10:00,201,245,113,118,221,190
6/10/2024,12:00,189,246,106,120,222,183
6/10/2024,14:00,195,282,108,139,264,188
6/10/2024,16:00,188,325,120,152,288,202
6/10/2024,18:00,191,255,109,170,262,194
6/10/2024,20:00,191,256,103,151,224,181
6/10/2024,22:00,209,232,98,144,196,178
7/10/2024,00:00,198,210,87,123,175,168
7/10/2024,02:00,183,192,85,85,167,163
7/10/2024,04:00,187,195,83,81,168,163
7/10/2024,06:00,195,202,85,82,174,164
7/10/2024,08:00,197,214,98,90,181,172
7/10/2024,10:00,202,223,104,102,191,183
7/10/2024,12:00,187,219,100,100,203,176
7/10/2024,14:00,196,251,103,118,210,187
7/10/2024,16:00,191,236,125,146,229,203
7/10/2024,18:00,193,218,114,140,207,197
7/10/2024,20:00,192,197,103,123,186,188
7/10/2024,22:00,206,192,93,98,173,174
8/10/2024,00:00,201,194,84,83,167,171
8/10/2024,02:00,196,199,87,84,171,178
8/10/2024,04:00,200,199,87,84,174,175
8/10/2024,06:00,196,205,89,85,179,170
8/10/2024,08:00,197,200,102,109,187,189
8/10/2024,10:00,193,194,95,93,180,176
8/10/2024,12:00,193,197,94,92,184,168
8/10/2024,14:00,195,204,100,101,186,176
8/10/2024,16:00,197,201,103,107,198,179
8/10/2024,18:00,202,196,99,104,185,180
8/10/2024,20:00,197,192,95,94,182,171
8/10/2024,22:00,198,194,90,88,177,172
9/10/2024,00:00,199,196,88,85,171,170
9/10/2024,02:00,201,203,88,84,176,175
9/10/2024,04:00,206,205,89,85,177,176
9/10/2024,06:00,197,210,89,89,184,171
9/10/2024,08:00,196,207,100,101,189,183
9/10/2024,10:00,213,200,99,97,182,175
9/10/2024,12:00,206,203,95,95,192,172
9/10/2024,14:00,203,201,98,108,194,179
9/10/2024,16:00,206,201,106,111,188,182